Year,Series,øki,kyn,aldur,Units,GeoCode,Value
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,TOTAL,3.1
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,TOTAL,3.8
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,TOTAL,4.3
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,TOTAL,3.1
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,TOTAL,3.4
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,TOTAL,3.1
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,TOTAL,2.7
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,TOTAL,2.2
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,TOTAL,2.7
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,TOTAL,2.4
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,TOTAL,1.7
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,TOTAL,2.6
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,TOTAL,1.8
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,TOTAL,2.3
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,TOTAL,3.0
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,TOTAL,3.1
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,TOTAL,3.6
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,TOTAL,3.9
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,TOTAL,4.0
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,TOTAL,2.9
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,TOTAL,2.7
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,TOTAL,3.0
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,TOTAL,2.8
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,TOTAL,2.8
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,TOTAL,2.6
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,TOTAL,2.3
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,TOTAL,2.0
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,TOTAL,2.6
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,TOTAL,2.6
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,TOTAL,2.6
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,TOTAL,3.1
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 55 - 66,%,TOTAL,4.3
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 55 - 66,%,TOTAL,4.1
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 55 - 66,%,TOTAL,4.2
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 55 - 66,%,TOTAL,4.4
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 55 - 66,%,TOTAL,3.7
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 55 - 66,%,TOTAL,3.6
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 55 - 66,%,TOTAL,3.3
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 55 - 66,%,TOTAL,3.3
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 55 - 66,%,TOTAL,3.1
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 55 - 66,%,TOTAL,2.6
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 55 - 66,%,TOTAL,2.5
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 55 - 66,%,TOTAL,2.3
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 55 - 66,%,TOTAL,2.6
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 55 - 66,%,TOTAL,2.4
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 55 - 66,%,TOTAL,2.3
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 55 - 66,%,TOTAL,2.6
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 67 + ,%,TOTAL,3.0
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 67 + ,%,TOTAL,2.6
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 67 + ,%,TOTAL,2.6
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 67 + ,%,TOTAL,2.6
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 67 + ,%,TOTAL,1.7
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 67 + ,%,TOTAL,1.9
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 67 + ,%,TOTAL,2.0
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 67 + ,%,TOTAL,1.9
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 67 + ,%,TOTAL,2.2
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 67 + ,%,TOTAL,2.1
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 67 + ,%,TOTAL,1.2
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 67 + ,%,TOTAL,1.1
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 67 + ,%,TOTAL,0.8
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 67 + ,%,TOTAL,0.7
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 67 + ,%,TOTAL,1.2
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 67 + ,%,TOTAL,1.3
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,,%,4200,3.3
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,,%,4200,3.7
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,,%,4200,3.1
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,,%,4200,3.7
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,,%,4200,3.1
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,,%,4200,2.6
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,,%,4200,2.7
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,,%,4200,2.5
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,,%,4200,2.7
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,,%,4200,2.6
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,,%,4200,2.1
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,,%,4200,2.0
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,,%,4200,2.1
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,,%,4200,1.7
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,,%,4200,1.9
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,,%,4200,2.4
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 0 - 17,%,4200,3.6
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 0 - 17,%,4200,4.6
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 0 - 17,%,4200,3.7
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 0 - 17,%,4200,5.0
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 0 - 17,%,4200,4.6
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 0 - 17,%,4200,3.7
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 0 - 17,%,4200,3.8
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 0 - 17,%,4200,3.8
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 0 - 17,%,4200,4.2
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 0 - 17,%,4200,3.5
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 0 - 17,%,4200,3.1
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 0 - 17,%,4200,3.0
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 0 - 17,%,4200,2.5
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 0 - 17,%,4200,2.4
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 0 - 17,%,4200,2.8
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 0 - 17,%,4200,3.3
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 18 - 24,%,4200,3.2
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 18 - 24,%,4200,4.2
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 18 - 24,%,4200,3.3
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 18 - 24,%,4200,3.4
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 18 - 24,%,4200,3.1
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 18 - 24,%,4200,2.3
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 18 - 24,%,4200,3.6
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 18 - 24,%,4200,2.8
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 18 - 24,%,4200,1.9
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 18 - 24,%,4200,3.1
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 18 - 24,%,4200,2.5
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 18 - 24,%,4200,1.4
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 18 - 24,%,4200,2.5
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 18 - 24,%,4200,0.8
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 18 - 24,%,4200,1.2
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 18 - 24,%,4200,2.1
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 25 - 54,%,4200,2.8
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 25 - 54,%,4200,3.4
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 25 - 54,%,4200,2.9
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 25 - 54,%,4200,3.7
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 25 - 54,%,4200,3.0
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 25 - 54,%,4200,2.2
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 25 - 54,%,4200,2.4
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 25 - 54,%,4200,2.3
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 25 - 54,%,4200,2.6
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 25 - 54,%,4200,2.4
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 25 - 54,%,4200,1.8
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 25 - 54,%,4200,1.9
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 25 - 54,%,4200,2.3
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 25 - 54,%,4200,2.1
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 25 - 54,%,4200,2.0
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 25 - 54,%,4200,2.7
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 55 - 66,%,4200,3.6
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 55 - 66,%,4200,3.2
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 55 - 66,%,4200,3.2
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 55 - 66,%,4200,3.1
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 55 - 66,%,4200,2.5
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 55 - 66,%,4200,2.1
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 55 - 66,%,4200,1.7
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 55 - 66,%,4200,1.9
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 55 - 66,%,4200,1.6
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 55 - 66,%,4200,1.7
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 55 - 66,%,4200,1.3
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 55 - 66,%,4200,1.6
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 55 - 66,%,4200,1.7
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 55 - 66,%,4200,1.3
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 55 - 66,%,4200,1.4
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 55 - 66,%,4200,1.6
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 67 + ,%,4200,3.6
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 67 + ,%,4200,2.7
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 67 + ,%,4200,2.1
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 67 + ,%,4200,1.8
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 67 + ,%,4200,1.3
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 67 + ,%,4200,2.2
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 67 + ,%,4200,2.0
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 67 + ,%,4200,1.0
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 67 + ,%,4200,2.2
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 67 + ,%,4200,2.4
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 67 + ,%,4200,1.2
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 67 + ,%,4200,1.1
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 67 + ,%,4200,0.8
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 67 + ,%,4200,0.6
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 67 + ,%,4200,0.8
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,,Aldur 67 + ,%,4200,1.4
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,Kvinnur,,%,4200,3.4
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,Kvinnur,,%,4200,3.8
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,Kvinnur,,%,4200,3.3
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,Kvinnur,,%,4200,3.6
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,Kvinnur,,%,4200,3.3
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,Kvinnur,,%,4200,2.9
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,Kvinnur,,%,4200,3.2
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,Kvinnur,,%,4200,2.8
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,Kvinnur,,%,4200,3.1
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,Kvinnur,,%,4200,3.0
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,Kvinnur,,%,4200,2.4
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,Kvinnur,,%,4200,2.1
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,Kvinnur,,%,4200,2.1
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,Kvinnur,,%,4200,1.7
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,Kvinnur,,%,4200,2.0
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,Kvinnur,,%,4200,2.2
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,Kvinnur,Aldur 0 - 17,%,4200,3.5
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",Eysturoyar øki,Kvinnur,Aldur 0 - 17,%,4200,4.9
